date,framework,control_id,control_name,status,compliance_score,last_assessment,next_assessment,responsible_team,risk_level
2025-01-01,SOC2,CC6.1,Logical Access Controls,Compliant,95,2025-01-01,2025-04-01,IT Security,Low
2025-01-01,SOC2,CC6.2,Authentication,Compliant,92,2025-01-01,2025-04-01,IT Security,Low
2025-01-01,SOC2,CC6.3,Authorization,Non-Compliant,78,2025-01-01,2025-02-01,IT Security,Medium
2025-01-01,SOC2,CC7.1,System Operations,Compliant,88,2025-01-01,2025-04-01,IT Operations,Low
2025-01-01,SOC2,CC7.2,Change Management,Compliant,91,2025-01-01,2025-04-01,IT Operations,Low
2025-01-01,ISO27001,A.5.1,Information Security Policies,Compliant,94,2025-01-01,2025-07-01,Security Team,Low
2025-01-01,ISO27001,A.6.1,Internal Organization,Compliant,89,2025-01-01,2025-07-01,Management,Low
2025-01-01,ISO27001,A.7.1,Prior to Employment,Non-Compliant,72,2025-01-01,2025-03-01,HR,Medium
2025-01-01,ISO27001,A.8.1,Responsibility for Assets,Compliant,86,2025-01-01,2025-07-01,Asset Management,Low
2025-01-01,ISO27001,A.9.1,Business Requirements,Compliant,93,2025-01-01,2025-07-01,IT Security,Low
2025-01-01,NIST,ID.AM-1,Physical Devices,Compliant,90,2025-01-01,2025-06-01,Asset Management,Low
2025-01-01,NIST,ID.AM-2,Software Platforms,Non-Compliant,68,2025-01-01,2025-02-15,IT Operations,High
2025-01-01,NIST,ID.AM-3,Organizational Communication,Compliant,85,2025-01-01,2025-06-01,Communications,Low
2025-01-01,NIST,PR.AC-1,Identities and Credentials,Compliant,92,2025-01-01,2025-06-01,Identity Management,Low
2025-01-01,NIST,PR.AC-3,Remote Access,Non-Compliant,75,2025-01-01,2025-03-01,Network Security,Medium
2025-02-01,SOC2,CC6.3,Authorization,Compliant,89,2025-02-01,2025-05-01,IT Security,Low
2025-02-15,NIST,ID.AM-2,Software Platforms,Compliant,87,2025-02-15,2025-08-15,IT Operations,Low
2025-03-01,ISO27001,A.7.1,Prior to Employment,Compliant,91,2025-03-01,2025-09-01,HR,Low
2025-03-01,NIST,PR.AC-3,Remote Access,Compliant,88,2025-03-01,2025-09-01,Network Security,Low
2025-04-01,SOC2,CC6.1,Logical Access Controls,Compliant,96,2025-04-01,2025-07-01,IT Security,Low
2025-04-01,SOC2,CC6.2,Authentication,Compliant,94,2025-04-01,2025-07-01,IT Security,Low
2025-04-01,SOC2,CC7.1,System Operations,Compliant,90,2025-04-01,2025-07-01,IT Operations,Low
2025-04-01,SOC2,CC7.2,Change Management,Compliant,93,2025-04-01,2025-07-01,IT Operations,Low
2025-05-01,SOC2,CC6.3,Authorization,Compliant,91,2025-05-01,2025-08-01,IT Security,Low
2025-06-01,NIST,ID.AM-1,Physical Devices,Compliant,92,2025-06-01,2025-12-01,Asset Management,Low
2025-06-01,NIST,ID.AM-3,Organizational Communication,Compliant,87,2025-06-01,2025-12-01,Communications,Low
2025-06-01,NIST,PR.AC-1,Identities and Credentials,Compliant,94,2025-06-01,2025-12-01,Identity Management,Low
2025-07-01,SOC2,CC6.1,Logical Access Controls,Compliant,97,2025-07-01,2025-10-01,IT Security,Low
2025-07-01,SOC2,CC6.2,Authentication,Compliant,95,2025-07-01,2025-10-01,IT Security,Low
2025-07-01,SOC2,CC7.1,System Operations,Compliant,92,2025-07-01,2025-10-01,IT Operations,Low
2025-07-01,SOC2,CC7.2,Change Management,Compliant,94,2025-07-01,2025-10-01,IT Operations,Low
2025-07-01,ISO27001,A.5.1,Information Security Policies,Compliant,96,2025-07-01,2026-01-01,Security Team,Low
2025-07-01,ISO27001,A.6.1,Internal Organization,Compliant,91,2025-07-01,2026-01-01,Management,Low
2025-07-01,ISO27001,A.8.1,Responsibility for Assets,Compliant,88,2025-07-01,2026-01-01,Asset Management,Low
2025-07-01,ISO27001,A.9.1,Business Requirements,Compliant,95,2025-07-01,2026-01-01,IT Security,Low
2025-08-01,SOC2,CC6.3,Authorization,Compliant,93,2025-08-01,2025-11-01,IT Security,Low
2025-08-15,NIST,ID.AM-2,Software Platforms,Compliant,89,2025-08-15,2026-02-15,IT Operations,Low
2025-09-01,ISO27001,A.7.1,Prior to Employment,Compliant,93,2025-09-01,2026-03-01,HR,Low
2025-09-01,NIST,PR.AC-3,Remote Access,Compliant,90,2025-09-01,2026-03-01,Network Security,Low
2025-10-01,SOC2,CC6.1,Logical Access Controls,Compliant,98,2025-10-01,2026-01-01,IT Security,Low
2025-10-01,SOC2,CC6.2,Authentication,Compliant,96,2025-10-01,2026-01-01,IT Security,Low
2025-10-01,SOC2,CC7.1,System Operations,Compliant,94,2025-10-01,2026-01-01,IT Operations,Low
2025-10-01,SOC2,CC7.2,Change Management,Compliant,95,2025-10-01,2026-01-01,IT Operations,Low
2025-11-01,SOC2,CC6.3,Authorization,Compliant,94,2025-11-01,2026-02-01,IT Security,Low
2025-12-01,NIST,ID.AM-1,Physical Devices,Compliant,94,2025-12-01,2026-06-01,Asset Management,Low
2025-12-01,NIST,ID.AM-3,Organizational Communication,Compliant,89,2025-12-01,2026-06-01,Communications,Low
2025-12-01,NIST,PR.AC-1,Identities and Credentials,Compliant,96,2025-12-01,2026-06-01,Identity Management,Low 
