date,event_type,severity,source,target,status,description,impact_score
2025-01-15,Malware Detection,High,External,Endpoint-001,Resolved,Trojan detected on user workstation,8
2025-01-18,Phishing Attempt,Medium,Email,User-Marketing,Blocked,Suspicious email with malicious link,5
2025-01-22,Unauthorized Access,Critical,External,Database-Server,Investigating,Failed login attempts from unknown IP,9
2025-01-25,Data Exfiltration,High,Internal,File-Server,Resolved,Unusual data transfer detected,7
2025-02-02,Vulnerability Scan,Low,Internal,Web-Server,Patched,CVE-2025-0001 identified and fixed,3
2025-02-08,DDoS Attack,Medium,External,Web-Application,Mitigated,Traffic spike detected and blocked,6
2025-02-12,Insider Threat,High,Internal,Database-Server,Monitoring,Suspicious user behavior detected,8
2025-02-18,Ransomware,Critical,External,File-Server,Contained,Encryption attempt blocked,10
2025-02-25,Social Engineering,Medium,Phone,User-Finance,Resolved,Attempted credential harvesting,5
2025-03-05,Malware Detection,Medium,Email,Endpoint-045,Resolved,Suspicious attachment quarantined,6
2025-03-10,Phishing Attempt,High,Email,User-Executive,Blocked,CEO impersonation attempt,8
2025-03-15,Unauthorized Access,Medium,External,VPN-Gateway,Blocked,Brute force attack detected,6
2025-03-20,Data Breach,Critical,External,Customer-DB,Investigating,Potential customer data exposure,10
2025-03-25,Vulnerability Scan,Medium,Internal,Network-Device,Patched,Multiple CVEs identified,5
2025-04-01,Phishing Attempt,Low,Email,User-HR,Blocked,Generic phishing email detected,3
2025-04-08,Malware Detection,High,USB,Endpoint-078,Resolved,USB-borne malware detected,7
2025-04-12,DDoS Attack,High,External,API-Gateway,Mitigated,Sustained attack on API endpoints,8
2025-04-18,Insider Threat,Medium,Internal,File-Server,Resolved,Unauthorized file access detected,6
2025-04-25,Social Engineering,High,Email,User-IT,Blocked,IT support impersonation attempt,7
2025-05-02,Vulnerability Scan,Low,Internal,Database-Server,Patched,Minor security updates applied,2
2025-05-08,Phishing Attempt,Medium,Email,User-Sales,Blocked,Invoice-themed phishing email,5
2025-05-15,Malware Detection,Critical,Network,Multiple-Endpoints,Contained,Worm propagation detected,9
2025-05-20,Unauthorized Access,High,External,Admin-Panel,Blocked,Admin credential compromise attempt,8
2025-05-28,Data Exfiltration,Medium,Internal,Research-Server,Monitoring,Unusual data patterns detected,6
2025-06-03,Phishing Attempt,High,SMS,User-Finance,Blocked,Smishing attack targeting finance team,7
2025-06-10,Vulnerability Scan,Medium,External,Web-Application,Patched,SQL injection vulnerability fixed,5
2025-06-15,Ransomware,High,Email,Endpoint-102,Contained,Ransomware payload intercepted,8
2025-06-22,DDoS Attack,Low,External,Website,Mitigated,Minor traffic anomaly detected,4
2025-06-28,Insider Threat,Critical,Internal,HR-System,Investigating,Unauthorized personnel data access,9
2025-07-05,Malware Detection,Medium,Download,Endpoint-156,Resolved,Adware installation blocked,5
2025-07-12,Phishing Attempt,High,Email,User-Executive,Blocked,Sophisticated spear phishing attempt,8
2025-07-18,Unauthorized Access,Medium,External,Cloud-Storage,Blocked,Credential stuffing attack,6
2025-07-25,Social Engineering,High,Phone,User-Accounting,Resolved,Vishing attempt targeting accounting,7
2025-08-01,Vulnerability Scan,High,Internal,Critical-Server,Patched,Zero-day vulnerability addressed,8
2025-08-08,Data Breach,Medium,External,Marketing-DB,Contained,Limited marketing data exposure,6
2025-08-15,Phishing Attempt,Low,Email,User-Support,Blocked,Generic support-themed phishing,3
2025-08-22,Malware Detection,High,Email,Endpoint-203,Resolved,Banking trojan detected and removed,7
2025-08-28,DDoS Attack,Critical,External,Infrastructure,Mitigated,Large-scale infrastructure attack,9
2025-09-05,Insider Threat,Medium,Internal,Development-Server,Monitoring,Unusual code repository access,5
2025-09-12,Phishing Attempt,High,Email,User-Legal,Blocked,Legal document-themed phishing,7
2025-09-18,Vulnerability Scan,Low,Internal,Printer-Network,Patched,IoT device vulnerabilities fixed,3
2025-09-25,Unauthorized Access,High,External,Email-Server,Blocked,Email account takeover attempt,8
2025-10-02,Malware Detection,Medium,Web,Endpoint-267,Resolved,Drive-by download prevented,6
2025-10-08,Social Engineering,Critical,Email,User-CEO,Blocked,CEO fraud attempt,10
2025-10-15,Phishing Attempt,Medium,Email,User-Operations,Blocked,Operations-themed phishing email,5
2025-10-22,Data Exfiltration,High,External,Backup-Server,Investigating,Backup data access anomaly,8
2025-10-28,Vulnerability Scan,Medium,External,API-Endpoints,Patched,API security vulnerabilities fixed,5
2025-11-05,Ransomware,High,Email,Endpoint-298,Contained,Ransomware execution prevented,8
2025-11-12,DDoS Attack,Medium,External,E-commerce,Mitigated,Shopping platform attack,6
2025-11-18,Insider Threat,High,Internal,Financial-System,Resolved,Unauthorized financial data access,8
2025-11-25,Phishing Attempt,High,Email,User-Management,Blocked,Management-targeted phishing,7
2025-12-02,Malware Detection,Low,Update,Endpoint-334,Resolved,False positive malware alert,2
2025-12-08,Unauthorized Access,Medium,External,Test-Environment,Blocked,Test system intrusion attempt,5
2025-12-15,Social Engineering,Medium,Phone,User-Reception,Resolved,Reception desk social engineering,6 
